Código;Ficha;Dependência;Nomenclatura;Conta-contábil;QNT SISCOFIS;Valor Un;Tipo;Prateleira;Obs
161;;RESERVA 1;BARRACA IGLU;;;;EQUIPAMENTO;;
3;841500 (3), 18-004/G (21+3),  18-004/M (23),  1705/M (3),  18-004/P  (15);;JAPONA DE CAMPANHA (NOVA);;68;;FARDAMENTO;39;"Japona de campanha 1º classe à chegar:

tam P: 5
tam M: 8
tam G: 12
tam GG: 1"
4;1646;;CANTIL;;194;;EQUIPAMENTO;32;"84 para descarga
NOMEAÇÃO DE COMISSÃO: Boletim Interno Nr 106, de 04 de junho de 2020.
22 unidade a 4,50 reais
12 unidades a 4,69 reais
30 unidades a 5,18 reais
20 unidades a 4,69 reais"
5;262;;MARMITA DE ALUMÍNIO;;414;;EQUIPAMENTO;167;"40 para DESCARGA - TERMO DE EXAME E AVERIGUAÇÃO DE MATERIAL 02 - 2020 - 1. NOMEAÇÃO DE COMISSÃO: Boletim Interno Nr 106, de 04 de junho de 2020.

40 unidades a 17,93 reais

LACRE: 0003656, 0003657"
6;1534;;PORTA CARREGADOR DE PISTOLA;;10;;EQUIPAMENTO;48;
7;1581;;MOCHILA DE MÉDIA CAPACIDADE;;100;;EQUIPAMENTO;57;"15 ESTÃO PARA DESCARGA - NOMEAÇÃO DE COMISSÃO: Boletim Interno Nr 106, de 04 de junho de 2020. 
15 unidades a 246,18 reais"
8;152449 - 152449-155473;;GANDOLETA;;;;FARDAMENTO;48;"Blusa de combate Cmf leve (Gandoleta) nova à chegar:
Aguardando completamento
tam PP: 5
tam P: 8
tam M: 14
tam G: 14
tam GG: 5"
9;251;;COLCHÃO DE ESPUMA;;145;;MATERIAL;75;
10;18-001;;MEIAS BRANCAS (PAR);;235;;FARDAMENTO;129;Meias brancas à chegar: 321 pares
11;155806;;TÊNIS PRETO (1º CLASSE);;;;FARDAMENTO;0;"Tênis preto à chegar:

num 38: 8 pares
num 39: 12 pares
num 40: 52 pares
num 41: 52 pares
num 42: 52 pares
num 43: 24 pares"
12;1705/P (2+29), 1705/G (20+12),  1705/GG (2+6+41), 1705/M (23+42+55), 00212121 (3),;;JAPONA DE CAMPANHA (ANTIGA);;235;;FARDAMENTO;0;
13;1687;;COTURNO DE LONA (1ª Classe);;;;FARDAMENTO;0;"Coturno de combate preto à chegar:

num 38: 8 
num 39: 12 
num 40: 52
num 41: 52
num 42: 32
num 43: 40
num 44: 4"
14;1687, 2217;;COTURNO DE LONA (2ª Classe);;425;;FARDAMENTO;94;
15;1710;;MACACÃO MASCULINO;;39;;FARDAMENTO;2;"Macacão de manutenção à chegar:

tam P: 2
tam M: 4
tam G: 6"
16;1605;;CAMISETA CAMUFLADA (1ª CLASSE);;;;FARDAMENTO;0;"Camiseta camuflada NOVA em estoque:

tam P: 129
tam G: 07
tam GG: 11


Camiseta Camuflada 1º Classe à chegar:

tam PP: 6
tam P: 101
tam M: 165
tam G: 38 
tam GG: 6"
17;1724;;BOINA PRETA;;135;;FARDAMENTO;34;"60 -01, 62 - 01, 59 - 11, 58 -05, 57 -12, 56 -01, 55 -02, 43 -01


Boina Preta nova à chegar:

tam 55: 3
tam 56: 15
tam 57: 14
tam 58: 15
tam 59: 5
tam 60: 4
tam 61: 4"
18;1690;;SIMBOLO DO EB (METÁLICO);;76;;FARDAMENTO;0;Distintivo de boina símbolo do EB à chegar: 36 unidades
19;123, 1680;;CAMISETA CAMUFLADA (2ª CLASSE);;659;;FARDAMENTO;166;
20;16-31-60827;;CONJUNTO CAMUFLADO (1ª CLASSE);;0;;FARDAMENTO;0;"Conjunto Camuflado 1º Classe à chegar:

tam P: 68
tam M: 104
tam G: 24
tam GG: 4"
21;1000/26, 1000/27, 1000/28;;CONJUNTO CAMUFLADO (2ª CLASSE);;162;;FARDAMENTO;61;
22;1693;;GORRO CAMUFLADO (1ª CLASSE);;;;FARDAMENTO;0;Gorros Camuflados NOVOS em estoque:
23;1693/60;;GORRO CAMUFLADO (2ª CLASSE);;20;;FARDAMENTO;53;
24;1720;;SUETER DE LÃ VO;;89;;FARDAMENTO;52;
25; 1685/1,10,  1685/1,20,  1685/1,30,  1685/1,40;;CINTO DE NÁILON VO;;105;;FARDAMENTO;93;"Cinto de náilon verde-oliva à chegar:
Aguardando completamento
1,20m: 44
Recebido
1,40m: 15"
26;1692;;FIVELA PRETA;;148;;FARDAMENTO;34;Fivela preta à chegar: 36 unidades
27;16153;;CALÇÃO DE TFM (1ª CLASSE);;189;;FARDAMENTO;0;"Calção de TFM 1º Classe à chegar:

tam PP: 4
tam P: 64
tam M: 104
tam G: 24
tam GG: 4"
