NEE;Descrição do Item;Tamanho
BR1032166;Agasalho verde-oliva para treinamento físico;PP
BR1300678;Agasalho verde-oliva para treinamento físico;P
BR1002314;Agasalho verde-oliva para treinamento físico;M
BR1002425;Agasalho verde-oliva para treinamento físico;G
BR1002437;Agasalho verde-oliva para treinamento físico;GG
BR1300137;Apito;ÚNICO
BR1300855;Avental para pessoal de cozinha;PP
BR1003488;Avental para pessoal de cozinha;P
BR1003489;Avental para pessoal de cozinha;M
BR1003490;Avental para pessoal de cozinha;G
BR1003491;Avental para pessoal de cozinha;GG
BR1300259;Avental para pessoal de saúde;PP
BR1003541;Avental para pessoal de saúde;P
BR1003542;Avental para pessoal de saúde;M
BR1003543;Avental para pessoal de saúde;G
BR1003544;Avental para pessoal de saúde;GG
BR1300812;Bermuda Camuflada;P
BR1003493;Bermuda Camuflada;M
BR1003494;Bermuda Camuflada;G
BR1003495;Bermuda Camuflada;GG
BR1032164;Blusa de combate camuflada;PP
BR1008814;Blusa de combate camuflada;P
BR1008815;Blusa de combate camuflada;M
BR1008816;Blusa de combate camuflada;G
BR1008818;Blusa de combate camuflada;GG
BR1008970;Blusa meia-manga tipo safári;PP
BR1008971;Blusa meia-manga tipo safári;P
BR1008972;Blusa meia-manga tipo safári;M
BR1008973;Blusa meia-manga tipo safári;G
BR1008974;Blusa meia-manga tipo safári;GG
BR1300003;Blusão de couro branco para motociclista;PP
BR1004034;Blusão de couro branco para motociclista;P
BR1004035;Blusão de couro branco para motociclista;M
BR1004036;Blusão de couro branco para motociclista;G
BR1004037;Blusão de couro branco para motociclista;GG
BR1004038;Blusão de couro branco para motociclista;XG
BR1300515;Blusão de couro preto para motociclista;PP
BR1003996;Blusão de couro preto para motociclista;P
BR1003997;Blusão de couro preto para motociclista;M
BR1003998;Blusão de couro preto para motociclista;G
BR1003999;Blusão de couro preto para motociclista;GG
BR1004000;Blusão de couro preto para motociclista;XG
BR1300518;Blusão verde-oliva EM TELA;PP
BR1003496;Blusão verde-oliva EM TELA;P
BR1003497;Blusão verde-oliva EM TELA;M
BR1003498;Blusão verde-oliva EM TELA;G
BR1003499;Blusão verde-oliva EM TELA;GG
BR1004194;Blusão verde-oliva SARJA;PP
BR1004195;Blusão verde-oliva SARJA;P
BR1004196;Blusão verde-oliva SARJA;M
BR1004197;Blusão verde-oliva SARJA;G
BR1004198;Blusão verde-oliva SARJA;GG
BR1300002;Boina azul-ferrete;54
BR1003572;Boina azul-ferrete;55
BR1003573;Boina azul-ferrete;56
BR1003574;Boina azul-ferrete;57
BR1003575;Boina azul-ferrete;58
BR1003576;Boina azul-ferrete;59
BR1003577;Boina azul-ferrete;60
BR1003578;Boina azul-ferrete;61
BR1003579;Boina azul-ferrete;62
BR1095343;Boina preta;54
BR1003982;Boina preta;55
BR1095349;Boina preta;56
BR1095350;Boina preta;57
BR1095351;Boina preta;58
BR1095352;Boina preta;59
BR1095353;Boina preta;60
BR1003988;Boina preta;61
BR1082142;Boina preta;62
BR1300363;Boina verde-oliva;54
BR1003564;Boina verde-oliva;55
BR1095324;Boina verde-oliva;56
BR1003566;Boina verde-oliva;57
BR1003567;Boina verde-oliva;58
BR1003568;Boina verde-oliva;59
BR1003569;Boina verde-oliva;60
BR1003570;Boina verde-oliva;61
BR1095331;Boina verde-oliva;62
BR1033935;Bota de borracha preta (par);33
BR1033937;Bota de borracha preta (par);34
BR1033938;Bota de borracha preta (par);35
BR1033939;Bota de borracha preta (par);36
BR1300702;Bota de borracha preta (par);37
BR1003546;Bota de borracha preta (par);38
BR1003547;Bota de borracha preta (par);39
BR1003548;Bota de borracha preta (par);40
BR1003549;Bota de borracha preta (par);41
BR1003550;Bota de borracha preta (par);42
BR1003551;Bota de borracha preta (par);43
BR1003552;Bota de borracha preta (par);44
BR1003553;Bota de borracha preta (par);45
BR1003554;Bota de borracha preta (par);46
BR1032453;Bota preta de motociclista (par);33
BR1032454;Bota preta de motociclista (par);34
BR1032455;Bota preta de motociclista (par);35
BR1019349;Bota preta de motociclista (par);36
BR1300707;Bota preta de motociclista (par);37
BR1003630;Bota preta de motociclista (par);38
BR1003631;Bota preta de motociclista (par);39
BR1003632;Bota preta de motociclista (par);40
BR1003633;Bota preta de motociclista (par);41
BR1003634;Bota preta de motociclista (par);42
BR1003635;Bota preta de motociclista (par);43
BR1003636;Bota preta de motociclista (par);44
BR1003637;Bota preta de motociclista (par);45
BR1003638;Bota preta de motociclista (par);46
BR1003599;Botina de lona camuflada (par);42
BR1003600;Botina de lona camuflada (par);43
BR1003601;Botina de lona camuflada (par);44
BR1003602;Botina de lona camuflada (par);45
BR1003603;Botina de lona camuflada (par);46
BR1003596;Botina de lona camuflada (par);39
BR1003597;Botina de lona camuflada (par);40
BR1003598;Botina de lona camuflada (par);41
BR1300731;Braçal branco p/ Pessoal de Saúde;ÚNICO
BR1037348;Braçal da Policia do Exército, branco;ÚNICO
BR1037347;Braçal da Policia do Exército, preto;ÚNICO
BR1018688;Braçal de Cia de Guarda, branco;ÚNICO
BR1005879;Braçal de Cia de Guarda, preto;ÚNICO
BR1300739;Braçal de RCG, branco;ÚNICO
BR1300741;Braçal de RCG, preto;ÚNICO
BR1300005;Cachecol de lã, verde-oliva;ÚNICO
BR1300318;Cachecol de parada, branco;ÚNICO
BR1011487;Cachecol de parada, verde-oliva;ÚNICO
BR1300030;Cadarço branco;ÚNICO
BR1300620;Calça branca;PP
BR1003588;Calça branca;P
BR1003589;Calça branca;M
BR1003590;Calça branca;G
BR1003591;Calça branca;GG
BR1008738;Calça camuflada;PP
BR1008739;Calça camuflada;P
BR1008740;Calça camuflada;M
BR1008741;Calça camuflada;G
BR1300921;Calça camuflada;GG
BR1300621;Calça para taifeiro, preta;PP
BR1003473;Calça para taifeiro, preta;P
BR1003474;Calça para taifeiro, preta;M
BR1003475;Calça para taifeiro, preta;G
BR1003476;Calça para taifeiro, preta;GG
BR1009249;Calça tipo safári;PP
BR1009250;Calça tipo safári;P
BR1009251;Calça tipo safári;M
BR1009253;Calça tipo safári;G
BR1009255;Calça tipo safári;GG
BR1300094;Calça verde-oliva, em SARJA;PP
BR1003874;Calça verde-oliva, em SARJA;P
BR1003875;Calça verde-oliva, em SARJA;M
BR1003876;Calça verde-oliva, em SARJA;G
BR1003877;Calça verde-oliva, em SARJA;GG
BR1300658;Calça verde-oliva, EM TELA;PP
BR1003521;Calça verde-oliva, EM TELA;P
BR1003522;Calça verde-oliva, EM TELA;M
BR1003523;Calça verde-oliva, EM TELA;G
BR1003524;Calça verde-oliva, EM TELA;GG
BR1003556;Calção de banho preto;G
BR1003557;Calção de banho preto;GG
BR1300352;Calção de banho preto;P
BR1003555;Calção de banho preto;M
BR1032446;Calção para treinamento físico;PP
BR1300360;Calção para treinamento físico;P
BR1003531;Calção para treinamento físico;M
BR1003532;Calção para treinamento físico;G
BR1093544;Calção para treinamento físico;GG
BR1300631;Calção para treinamento físico, com listra vermelha;PP
BR1003357;Calção para treinamento físico, com listra vermelha;M
BR1003452;Calção para treinamento físico, com listra vermelha;G
BR1003453;Calção para treinamento físico, com listra vermelha;GG
BR1300361;Calção para treinamento físico, com listra vermelha;P
BR1301021;Camisa bege manga comprida;PP
BR1003526;Camisa bege manga comprida;P
BR1003527;Camisa bege manga comprida;M
BR1003528;Camisa bege manga comprida;G
BR1003529;Camisa bege manga comprida;GG
BR1032158;Camisa bege meia-manga;PP
BR1300622;Camisa bege meia-manga;P
BR1003504;Camisa bege meia-manga;M
BR1003505;Camisa bege meia-manga;G
BR1003506;Camisa bege meia-manga;GG
BR1300650;Camisa branca de colarinho duplo;PP
BR1003604;Camisa branca de colarinho duplo;P
BR1003605;Camisa branca de colarinho duplo;M
BR1003606;Camisa branca de colarinho duplo;G
BR1003607;Camisa branca de colarinho duplo;GG
BR1300648;Camisa branca de colarinho simples;PP
BR1003609;Camisa branca de colarinho simples;P
BR1003610;Camisa branca de colarinho simples;M
BR1003611;Camisa branca de colarinho simples;G
BR1003612;Camisa branca de colarinho simples;GG
BR1300854;Camiseta meia-manga camuflada;PP
BR1094561;Camiseta meia-manga camuflada;P
BR1094562;Camiseta meia-manga camuflada;M
BR1094563;Camiseta meia-manga camuflada;G
BR1094564;Camiseta meia-manga camuflada;GG
BR1301024;Camiseta meia-manga, branca;PP
BR1093976;Camiseta meia-manga, branca;P
BR1093977;Camiseta meia-manga, branca;M
BR1093978;Camiseta meia-manga, branca;G
BR1093979;Camiseta meia-manga, branca;GG
BR1003990;Camiseta sem manga branca;PP
BR1003991;Camiseta sem manga branca;P
BR1003992;Camiseta sem manga branca;M
BR1003993;Camiseta sem manga branca;G
BR1059055;Camiseta sem manga branca;GG
BR1003510;Capa impermeável, verde-oliva;P
BR1003511;Capa impermeável, verde-oliva;M
BR1003512;Capa impermeável, verde-oliva;G
BR1003513;Capa impermeável, verde-oliva;GG
BR1003864;Capacete de guarda;P
BR1003865;Capacete de guarda;M
BR1003866;Capacete de guarda;G
BR1301170;Capacete de motociclista, aberto;P
BR1003867;Capacete de motociclista, aberto;M
BR1003868;Capacete de motociclista, aberto;G
BR1305439;Capacete de Policia do Exército, branco;P
BR1305440;Capacete de Policia do Exército, branco;M
BR1305441;Capacete de Policia do Exército, branco;G
BR1305436;Capacete de Policia do Exército, preto;P
BR1305437;Capacete de Policia do Exército, preto;M
BR1305438;Capacete de Policia do Exército, preto;G
BR1301160;Capacete esp p/ tripulante de Vtr Bld;P
BR1007312;Capacete esp p/ tripulante de Vtr Bld;M
BR1007314;Capacete esp p/ tripulante de Vtr Bld;G
BR1300868;Capuz de lã, verde-oliva;ÚNICO
BR1033930;Ceroula;PP
BR1003501;Ceroula;P
BR1301360;Ceroula;M
BR1003502;Ceroula;G
BR1003503;Ceroula;GG
BR1301103;Chapéu Tropical Camuflado;54
BR1003806;Chapéu Tropical Camuflado;55
BR1003807;Chapéu Tropical Camuflado;56
BR1003808;Chapéu Tropical Camuflado;57
BR1003809;Chapéu Tropical Camuflado;58
BR1003810;Chapéu Tropical Camuflado;59
BR1003811;Chapéu Tropical Camuflado;60
BR1003812;Chapéu Tropical Camuflado;61
BR1003813;Chapéu Tropical Camuflado;62
BR1300871;Cinto de couro preto;0,75
BR1003770;Cinto de couro preto;0,8
BR1003771;Cinto de couro preto;0,85
BR1003772;Cinto de couro preto;0,9
BR1003773;Cinto de couro preto;0,95
BR1003774;Cinto de couro preto;1
BR1058933;Cinto de couro preto;1,3
129631121;Cinto de couro preto;1,2
BR1003901;Cinto de náilon, branco;1
BR1006354;Cinto de náilon, branco;1,1
BR1003897;Cinto de náilon, branco;1,2
BR1003899;Cinto de náilon, branco;1,4
BR1003675;Cinto de náilon, verde-oliva;1
BR1003672;Cinto de náilon, verde-oliva;1,1
BR1003673;Cinto de náilon, verde-oliva;1,2
BR1300052;Cinto de náilon, verde-oliva;1,4
BR1080026;Cinto de náilon, verde-oliva;1,3
BR1300894;Cinto especial branco;ÚNICO
BR1301441;Cinto talabarte branco;ÚNICO
BR1300481;Cobertor de lã, tp I hospital;ÚNICO
BR1301467;Cobertor de lã, tp II hospital;ÚNICO
BR1300479;Cobertor de lã, verde-oliva, tp I;ÚNICO
BR1300679;Cobertor de lã, verde-oliva, tp II;ÚNICO
BR1056772;Colcha azul hospital;ÚNICO
BR1301520;Colcha branca;ÚNICO
BR1084967;Colcha branca tipo II(com brazão do Exército);ÚNICO
BR1020577;Coldre, branco;ÚNICO
BR0000090;Conjunto Camuflado, com gorro pala camuflado;P
BR0000091;Conjunto Camuflado, com gorro pala camuflado;M
BR1091404;Conjunto Camuflado, com gorro pala camuflado;G
BR1091405;Conjunto Camuflado, com gorro pala camuflado;GG
BR0000089;Conjunto Camuflado, com gorro pala camuflado;PP
BR1095860;Conjunto para frio-segunda pele;P
1095861;Conjunto para frio-segunda pele;M
BR1095862;Conjunto para frio-segunda pele;G
BR1095863;Conjunto para frio-segunda pele;GG
BR1095864;Conjunto para frio-segunda pele;XG
BR1301640;Correia de couro para espora;ÚNICO
BR1011685;Coturno de lona, preta (par);33
BR1011692;Coturno de lona, preta (par);34
BR1011693;Coturno de lona, preta (par);35
BR1011699;Coturno de lona, preta (par);36
BR1301137;Coturno de lona, preta (par);37
